,price,is_cust_build,grade,view,waterfront,lat,long,zipcode,sqft_living,bedrooms,bathrooms,floors,sqft_living15,sqft_above,date
28,438000.0,0,7,0.0,0.0,47.695,-122.304,98115,1520,3,1.75,1.0,1520,790,6/24/2014
29,719000.0,0,8,0.0,0.0,47.7073,-122.11,98052,2570,4,2.5,2.0,2630,2570,3/2/2015
30,580500.0,0,8,0.0,0.0,47.5391,-122.07,98027,2320,3,2.5,2.0,2580,2320,11/10/2014
31,280000.0,0,7,0.0,0.0,47.7274,-122.357,98133,1190,2,1.5,3.0,1390,1190,12/1/2014
32,687500.0,0,7,0.0,0.0,47.6823,-122.368,98117,2330,4,1.75,1.5,1460,1510,6/24/2014
33,535000.0,0,8,0.0,0.0,47.6889,-122.375,98117,1090,3,1.0,1.5,1570,1090,11/10/2014
34,322500.0,0,7,0.0,0.0,47.4276,-122.157,98058,2060,4,2.75,1.0,2020,1280,12/3/2014
35,696000.0,0,8,0.0,0.0,47.6827,-122.31,98115,2300,3,2.5,1.5,1590,1510,6/13/2014
36,550000.0,0,5,0.0,0.0,47.6621,-122.132,98052,1660,4,1.0,1.0,2160,930,5/28/2014
37,640000.0,0,8,0.0,0.0,47.6702,-122.362,98107,2360,4,2.0,2.0,1730,2360,12/30/2014
38,240000.0,0,7,0.0,0.0,47.3341,-122.282,98001,1220,4,1.0,1.0,1290,890,2/13/2015
39,605000.0,0,8,0.0,0.0,47.5301,-122.18,98056,2620,4,2.5,2.0,2620,2620,6/20/2014
40,625000.0,0,9,0.0,0.0,47.6145,-122.027,98074,2570,4,2.5,2.0,2470,2570,7/15/2014
41,775000.0,0,8,0.0,0.0,47.445,-122.347,98166,4220,4,2.25,1.0,2410,2600,8/11/2014
42,861990.0,0,9,0.0,0.0,47.6848,-122.016,98053,3595,5,2.75,2.0,3625,3595,7/7/2014
43,685000.0,0,7,0.0,0.0,47.6413,-122.364,98119,1570,3,1.0,2.0,1580,1570,10/28/2014
44,309000.0,0,6,0.0,0.0,47.4485,-122.175,98058,1280,3,1.0,1.0,1340,920,7/29/2014
45,488000.0,0,8,0.0,0.0,47.7443,-121.977,98019,3160,3,2.5,2.0,3050,3160,7/18/2014
46,210490.0,0,6,0.0,0.0,47.3066,-122.371,98023,990,3,1.0,1.0,1228,990,3/25/2015
47,785000.0,0,9,0.0,0.0,47.6194,-122.151,98007,2290,4,2.5,2.0,2680,2290,7/16/2014
48,450000.0,0,7,0.0,0.0,47.6796,-122.301,98115,1250,3,1.75,1.0,970,1250,4/28/2015
49,1350000.0,0,9,2.0,1.0,47.4041,-122.451,98070,2753,3,2.5,1.0,2680,2165,3/11/2015
50,228000.0,0,7,0.0,0.0,47.4258,-122.322,98148,1190,3,1.0,1.0,1190,1190,9/16/2014
51,345000.0,0,8,0.0,0.0,47.4934,-122.189,98056,3150,5,2.5,1.0,1990,1640,2/17/2015
52,600000.0,0,7,0.0,0.0,47.6808,-122.384,98117,1410,3,1.75,1.0,1410,1000,12/31/2014
53,585000.0,0,7,0.0,0.0,47.6989,-122.369,98117,1980,2,1.75,1.0,1480,990,2/5/2015
54,920000.0,0,8,0.0,0.0,47.6571,-122.281,98105,2730,5,2.25,1.5,2730,2130,3/3/2015
55,885000.0,0,9,0.0,0.0,47.6597,-122.29,98105,2830,4,2.5,2.0,1950,2830,5/12/2014
56,292500.0,0,7,0.0,0.0,47.3663,-122.114,98042,2250,4,2.5,2.0,2250,2250,8/19/2014
57,301000.0,0,8,0.0,0.0,47.3663,-122.122,98042,2420,3,2.5,2.0,2690,2420,4/7/2015
58,951000.0,0,8,4.0,0.0,47.588,-122.116,98008,3250,5,3.25,2.0,2960,3250,8/27/2014
59,430000.0,0,8,0.0,0.0,47.5059,-122.149,98059,1850,4,3.0,2.0,2270,1850,2/23/2015
60,650000.0,0,8,3.0,0.0,47.4336,-122.339,98166,2150,3,2.25,1.0,2570,1590,12/10/2014
61,289000.0,0,7,0.0,0.0,47.4366,-122.335,98148,1260,3,1.75,1.0,1290,1260,8/28/2014
62,505000.0,0,8,0.0,0.0,47.4428,-122.344,98166,2519,3,1.75,2.0,2500,2519,10/21/2014
63,549000.0,0,8,0.0,0.0,47.6765,-122.32,98115,1540,3,1.75,3.0,1580,1540,12/7/2014
64,425000.0,0,7,0.0,0.0,47.6113,-122.297,98122,1660,3,2.25,1.0,1440,1110,6/3/2014
65,317625.0,0,7,0.0,0.0,47.5747,-122.304,98144,2770,3,2.75,1.5,1440,1770,11/20/2014
66,975000.0,0,10,0.0,0.0,47.5815,-122.192,98004,2720,4,2.5,2.0,2750,2720,9/9/2014
67,287000.0,0,7,0.0,0.0,47.3378,-122.257,98001,2240,4,2.5,2.0,2221,2240,10/9/2014
68,204000.0,0,7,0.0,0.0,47.3621,-122.11,98042,1000,3,1.0,1.0,1010,1000,8/25/2014
69,1330000.0,0,8,0.0,0.0,47.6303,-122.215,98004,3200,5,2.25,1.0,3390,1600,6/12/2014
70,1040000.0,0,11,0.0,0.0,47.6525,-122.16,98005,4770,5,3.25,1.0,3530,3070,9/12/2014
71,325000.0,0,7,0.0,0.0,47.7362,-122.179,98034,1260,3,2.0,1.0,1640,1260,1/5/2015
72,571000.0,0,7,0.0,0.0,47.7168,-122.287,98125,2750,4,2.0,1.5,1510,2250,6/10/2014
73,360000.0,0,8,0.0,0.0,47.3608,-122.036,98038,2380,4,2.5,2.0,2420,2380,7/10/2014
74,349000.0,0,7,0.0,0.0,47.3511,-122.073,98042,1790,3,1.75,1.0,1940,1090,3/16/2015
75,832500.0,0,10,0.0,0.0,47.5822,-121.987,98075,3430,4,4.0,2.0,3240,2390,11/5/2014
76,380000.0,0,7,0.0,0.0,47.6034,-122.125,98008,1760,4,1.75,1.0,1680,880,10/13/2014
77,480000.0,0,7,0.0,0.0,47.5636,-122.394,98116,1040,3,1.0,1.0,890,1040,4/20/2015
78,410000.0,0,7,0.0,0.0,47.7073,-122.34,98133,1410,3,1.0,1.0,1130,910,6/9/2014
79,720000.0,0,10,0.0,0.0,47.342,-122.025,98010,3450,4,2.5,2.0,3350,3450,3/23/2015
80,390000.0,0,8,0.0,0.0,47.3512,-122.008,98038,2350,3,2.5,2.0,2350,2350,12/2/2014
81,360000.0,0,7,0.0,0.0,47.349,-122.031,98038,1900,4,2.5,2.0,1870,1900,12/22/2014
82,355000.0,0,7,0.0,0.0,47.5474,-122.291,98118,2020,2,1.0,1.0,1720,1010,10/28/2014
83,356000.0,0,8,0.0,0.0,47.4811,-122.149,98059,1680,3,1.5,1.0,1850,1680,1/28/2015
84,315000.0,0,6,0.0,0.0,47.7264,-122.31,98125,960,3,1.0,1.0,1570,960,6/2/2014
85,940000.0,0,9,0.0,0.0,47.6337,-122.365,98119,2140,3,1.5,2.0,2020,1900,11/14/2014
86,305000.0,0,7,0.0,0.0,47.2909,-122.189,98092,2660,5,2.25,1.5,1590,2660,11/3/2014
87,461000.0,0,9,0.0,0.0,47.5228,-122.199,98056,2770,3,3.25,2.0,1900,1980,6/18/2014
88,215000.0,0,7,0.0,0.0,47.518,-122.194,98056,1610,2,2.25,2.0,1950,1610,5/19/2014
89,335000.0,0,7,0.0,0.0,47.5394,-122.387,98136,1030,2,1.75,2.0,1030,765,9/4/2014
90,243500.0,0,7,0.0,0.0,47.2897,-122.372,98023,1980,4,2.5,2.0,1980,1980,5/22/2014
91,1100000.0,0,10,0.0,0.0,47.6506,-122.391,98199,3520,5,2.75,2.0,2520,3520,3/11/2015
92,153000.0,0,7,0.0,0.0,47.322,-122.351,98023,1200,3,1.0,1.0,1350,1200,2/26/2015
93,430000.0,0,8,0.0,0.0,47.687,-122.386,98117,1580,3,1.5,1.0,1570,1290,7/25/2014
94,700000.0,0,8,0.0,0.0,47.687,-122.386,98117,1580,3,1.5,1.0,1570,1290,12/23/2014
95,905000.0,0,7,0.0,0.0,47.5873,-122.249,98040,3300,4,2.5,1.0,1950,2390,9/8/2014
96,247500.0,0,7,0.0,0.0,47.3576,-122.277,98032,1960,3,1.75,1.0,1750,1960,3/30/2015
97,199000.0,0,7,0.0,0.0,47.3036,-122.378,98023,1160,4,1.5,1.0,1160,1160,9/12/2014
98,314000.0,0,7,0.0,0.0,47.4109,-121.958,98038,1810,3,1.75,1.0,1650,1210,7/11/2014
99,437500.0,0,9,2.0,0.0,47.4838,-121.714,98045,2320,3,2.5,2.0,2550,2320,5/16/2014
100,850830.0,0,9,0.0,0.0,47.6415,-122.315,98102,2070,3,2.5,1.5,2200,1270,6/11/2014
101,555000.0,0,7,0.0,0.0,47.6775,-122.372,98117,1980,3,2.0,1.5,1610,1440,10/27/2014
102,699950.0,0,8,0.0,0.0,47.7731,-122.08,98077,2190,3,2.25,2.0,2570,2190,12/12/2014
103,1090000.0,0,8,0.0,0.0,47.5814,-122.196,98004,2920,3,2.5,2.0,2370,2920,10/7/2014
104,290000.0,0,7,0.0,0.0,47.4375,-122.184,98058,1210,3,1.0,1.0,1640,1210,9/24/2014
105,375000.0,0,8,0.0,0.0,47.4431,-122.133,98058,2340,3,2.5,1.0,2250,1460,4/2/2015
106,460000.0,0,7,0.0,0.0,47.6878,-122.38,98117,1670,3,1.0,1.5,1240,1170,5/23/2014
107,188500.0,0,8,0.0,0.0,47.3813,-122.322,98198,1240,2,1.75,1.0,1270,1240,7/23/2014
108,680000.0,0,10,0.0,0.0,47.7304,-122.082,98077,3140,4,2.5,2.0,2990,3140,3/5/2015
109,470000.0,0,7,0.0,0.0,47.6417,-122.109,98052,2030,5,1.75,2.0,2500,2030,8/27/2014
110,597750.0,0,8,0.0,0.0,47.5386,-122.053,98027,2310,4,2.5,2.0,1940,2310,7/25/2014
111,570000.0,0,6,0.0,0.0,47.6823,-122.349,98103,1260,3,1.75,1.0,1380,700,3/4/2015
112,272500.0,0,7,0.0,0.0,47.3624,-122.031,98038,1540,3,1.75,1.0,1540,1160,9/16/2014
113,329950.0,0,7,2.0,0.0,47.5474,-122.295,98108,2080,3,1.75,1.0,2090,1080,11/24/2014
114,480000.0,0,9,0.0,0.0,47.3183,-122.253,98001,3230,4,2.5,2.0,2640,2520,10/28/2014
115,740500.0,0,8,0.0,0.0,47.6981,-122.368,98117,4380,3,3.5,2.0,1830,2780,11/21/2014
116,518500.0,0,8,0.0,0.0,47.6824,-122.347,98103,1590,3,3.5,3.0,1620,1590,6/26/2014
117,205425.0,0,6,0.0,0.0,47.5009,-122.248,98178,880,2,1.0,1.0,1190,880,6/23/2014
118,171800.0,0,6,0.0,0.0,47.4965,-122.303,98168,1570,4,2.0,1.0,1880,1570,1/8/2015
119,535000.0,0,7,0.0,0.0,47.587,-122.294,98144,1610,4,1.0,1.5,1610,1610,5/11/2015
120,660000.0,0,8,2.0,0.0,47.7728,-122.386,98177,2400,3,2.5,1.0,2340,1560,1/2/2015
121,391500.0,0,7,0.0,0.0,47.7288,-122.226,98034,1450,3,2.0,1.0,1580,1450,11/19/2014
122,395000.0,0,6,0.0,0.0,47.6999,-122.364,98117,770,2,1.0,1.0,1710,770,4/6/2015
123,445000.0,0,7,0.0,0.0,47.5299,-122.266,98118,2100,4,1.75,1.5,1850,1720,11/4/2014
124,770000.0,0,9,0.0,0.0,47.6897,-122.098,98052,2910,3,2.25,2.0,2700,2910,6/18/2014
125,1450000.0,0,8,0.0,0.0,47.6141,-122.212,98004,2750,4,2.75,1.5,3060,1980,3/2/2015
126,445000.0,0,8,2.0,0.0,47.5091,-122.244,98178,2100,3,2.25,1.0,2660,1620,7/17/2014
127,260000.0,0,8,0.0,0.0,47.3129,-122.39,98023,2160,4,2.25,1.0,2090,1360,7/17/2014
128,822500.0,0,7,0.0,0.0,47.6763,-122.352,98103,2320,5,3.5,2.0,1700,1720,6/13/2014
129,430000.0,0,7,0.0,0.0,47.5319,-121.85,98065,2070,4,2.5,2.0,1970,2070,4/6/2015
130,212000.0,0,7,0.0,0.0,47.2761,-122.152,98092,1060,3,1.75,1.0,1420,1060,1/5/2015
131,660500.0,0,8,0.0,0.0,47.5343,-122.054,98027,2010,4,2.25,1.0,2060,1440,4/28/2015
132,784000.0,0,9,0.0,0.0,47.697,-122.072,98052,3950,3,3.5,1.5,2480,2460,6/12/2014
133,453246.0,0,8,0.0,0.0,47.5517,-121.998,98029,2010,3,2.5,2.0,1690,1390,5/12/2014
134,675000.0,0,9,0.0,0.0,47.6734,-122.38,98107,2140,4,3.5,3.0,1540,2140,1/26/2015
135,199000.0,0,7,0.0,0.0,47.3257,-122.296,98003,1320,3,1.75,1.0,1550,1320,8/13/2014
136,220000.0,0,7,0.0,0.0,47.3309,-122.299,98003,2020,4,1.75,1.0,1750,1010,8/5/2014
137,452000.0,0,8,0.0,0.0,47.7689,-122.266,98028,2590,4,2.25,1.0,1550,1340,5/29/2014
138,382500.0,0,6,0.0,0.0,47.7135,-122.287,98125,1190,2,1.0,1.0,1060,1190,7/7/2014
139,519950.0,0,8,0.0,0.0,47.6722,-122.381,98107,1170,3,2.25,3.0,1350,1170,5/7/2014
140,665000.0,0,7,0.0,0.0,47.6338,-122.358,98119,1110,2,1.0,1.0,1170,1110,6/27/2014
141,527700.0,0,8,0.0,0.0,47.5707,-122.128,98006,2820,5,2.5,1.0,2820,1550,7/8/2014
142,205000.0,0,7,0.0,0.0,47.4563,-122.171,98058,1610,3,1.0,1.0,1610,1010,5/8/2015
143,420000.0,0,7,0.0,0.0,47.7144,-122.351,98133,1060,3,1.0,1.0,1560,940,4/15/2015
144,500000.0,0,8,0.0,0.0,47.5495,-122.174,98006,2030,4,2.25,1.0,2230,1380,2/27/2015
145,921500.0,0,9,0.0,0.0,47.7421,-122.026,98077,3670,4,2.5,2.0,2840,3670,12/3/2014
146,890000.0,0,8,0.0,0.0,47.6354,-122.353,98109,2550,4,1.0,2.0,2200,2370,6/25/2014
147,430000.0,0,7,0.0,0.0,47.5262,-121.943,98027,2420,2,2.5,2.0,1940,2420,8/6/2014
148,258000.0,0,8,0.0,0.0,47.3887,-122.286,98032,2260,5,2.0,1.0,1360,1130,10/30/2014
149,511000.0,0,7,0.0,0.0,47.6873,-122.336,98103,1430,3,1.0,1.0,1450,980,11/4/2014
150,532170.0,0,8,0.0,0.0,47.6838,-122.353,98103,1360,3,2.0,2.0,1500,1360,8/20/2014
151,560000.0,0,7,0.0,0.0,47.655,-122.359,98107,1110,3,1.0,1.5,1420,1110,4/9/2015
152,282950.0,0,7,0.0,0.0,47.3255,-122.304,98003,1250,3,1.0,1.0,1680,1250,3/31/2015
153,2250000.0,1,12,3.0,0.0,47.562,-122.162,98006,5180,4,3.25,2.0,3160,3540,4/1/2015
154,350000.0,0,7,0.0,0.0,47.679,-122.3,98115,700,1,1.0,1.0,1010,700,5/16/2014
155,215000.0,0,7,0.0,0.0,47.4479,-122.176,98058,1180,3,1.0,1.0,1190,1180,7/28/2014
156,650000.0,0,9,0.0,0.0,47.525,-122.172,98056,3960,5,3.5,2.0,2640,2500,11/20/2014
157,320000.0,0,8,0.0,0.0,47.3135,-122.369,98023,2640,4,2.75,1.0,1980,1620,8/7/2014
158,247000.0,0,7,0.0,0.0,47.2086,-121.996,98022,1270,3,2.0,1.5,1160,1270,11/13/2014
159,320000.0,0,8,0.0,0.0,47.4715,-122.118,98059,1760,4,1.75,1.0,1730,1760,10/3/2014
160,255000.0,0,7,0.0,0.0,47.4877,-122.335,98146,2060,5,2.25,1.0,1010,1030,5/7/2014
161,438000.0,0,7,0.0,0.0,47.7171,-122.193,98034,1780,3,1.75,1.0,1200,1780,3/9/2015
162,900000.0,0,10,0.0,0.0,47.6012,-122.023,98075,3400,3,2.5,2.0,3400,3400,3/4/2015
163,441000.0,0,7,0.0,0.0,47.7319,-122.224,98034,1910,3,2.75,1.0,1710,1160,6/20/2014
164,420000.0,0,7,0.0,0.0,47.4582,-122.023,98027,2020,3,2.0,1.0,2110,1010,8/12/2014
165,370000.0,0,7,0.0,0.0,47.7209,-122.168,98034,1580,3,1.75,1.0,1640,1180,12/8/2014
166,269950.0,0,5,0.0,0.0,47.408,-122.327,98198,1340,2,1.75,1.0,1830,700,2/19/2015
167,807100.0,0,9,0.0,0.0,47.565,-122.125,98006,2680,4,2.5,2.0,2920,2680,3/24/2015
168,653000.0,0,8,0.0,0.0,47.7028,-122.231,98034,2680,3,2.5,1.0,2480,1610,6/5/2014
169,371500.0,0,7,0.0,0.0,47.7458,-122.331,98133,1370,3,2.0,1.0,1770,1370,6/11/2014
170,284000.0,0,7,0.0,0.0,47.4776,-122.337,98166,1560,3,1.75,1.0,1070,1560,3/16/2015
171,272000.0,0,7,0.0,0.0,47.3026,-122.374,98023,2160,3,1.75,1.0,1930,1670,1/2/2015
172,313000.0,0,7,0.0,0.0,47.7658,-122.339,98133,1340,3,1.5,1.5,1480,1340,5/2/2014
173,917500.0,0,10,0.0,0.0,47.6477,-122.182,98033,3880,4,2.5,2.0,3740,2570,1/16/2015
174,673000.0,0,8,0.0,0.0,47.5619,-122.125,98006,2590,4,2.25,2.0,2260,2590,9/29/2014
175,425000.0,0,8,0.0,0.0,47.6106,-122.31,98122,1120,3,2.5,2.0,1590,820,2/10/2015
176,399950.0,0,7,0.0,0.0,47.5868,-122.308,98144,1970,5,2.75,1.0,1280,1320,7/9/2014
177,385000.0,0,6,0.0,0.0,47.6101,-122.307,98122,1220,3,1.0,1.0,1200,1220,5/30/2014
178,269950.0,0,7,2.0,0.0,47.1976,-121.999,98022,1950,3,1.5,1.0,1950,1320,11/17/2014
179,330000.0,0,7,0.0,0.0,47.7224,-122.358,98177,1350,2,1.0,1.0,1540,1060,1/7/2015
180,260000.0,0,7,0.0,0.0,47.3505,-122.179,98030,1670,3,2.5,2.0,1670,1670,7/25/2014
181,470000.0,0,7,0.0,0.0,47.5384,-122.376,98126,2380,4,3.0,1.5,1410,1680,4/14/2015
182,589000.0,0,7,0.0,0.0,47.7044,-122.2,98034,2440,4,3.0,2.0,2290,2440,6/13/2014
183,163500.0,0,7,0.0,0.0,47.3848,-122.039,98038,1050,2,1.5,2.0,1050,1050,7/23/2014
184,835000.0,0,9,0.0,0.0,47.6993,-122.102,98052,3130,4,2.75,2.0,2260,2140,9/5/2014
185,1100000.0,0,10,2.0,0.0,47.6627,-122.188,98033,4090,5,3.0,1.0,2540,2090,11/21/2014
186,269000.0,0,8,0.0,0.0,47.3099,-122.379,98023,1490,4,1.75,1.0,2190,1100,4/15/2015
187,560000.0,0,8,0.0,0.0,47.62,-122.043,98074,1900,3,2.5,2.0,2030,1900,5/5/2014
188,615000.0,0,6,0.0,0.0,47.65,-122.34,98103,1330,4,1.0,1.5,1330,1330,4/18/2015
189,585188.0,0,8,0.0,0.0,47.6647,-122.153,98052,2230,3,2.25,1.0,2230,1430,12/5/2014
190,305000.0,0,7,0.0,0.0,47.726000000000006,-122.191,98034,1650,3,1.75,1.0,1540,1220,8/18/2014
191,166950.0,0,6,0.0,0.0,47.4616,-122.184,98058,1190,3,1.0,1.0,1230,1190,11/5/2014
192,799000.0,0,8,0.0,0.0,47.5505,-122.219,98040,2140,3,2.5,1.0,2680,2140,9/12/2014
193,400000.0,0,7,0.0,0.0,47.7606,-122.336,98133,2180,3,2.5,1.0,1900,1420,6/25/2014
194,230000.0,0,7,0.0,0.0,47.7481,-122.3,98155,1060,3,1.0,1.0,1570,1060,12/1/2014
195,256883.0,0,8,0.0,0.0,47.2779,-122.347,98023,1690,3,2.5,2.0,2550,1690,5/15/2014
196,423000.0,0,7,0.0,0.0,47.5511,-122.312,98108,1970,4,2.0,1.5,1500,1130,11/11/2014
197,465000.0,0,8,0.0,0.0,47.5488,-122.372,98126,2150,3,2.5,2.0,1750,2150,7/23/2014
198,440000.0,0,7,0.0,0.0,47.5385,-121.911,98024,1910,3,2.5,2.0,2330,1910,1/13/2015
199,385000.0,0,7,0.0,0.0,47.4058,-121.994,98038,1350,3,1.75,1.0,1560,1350,10/14/2014
200,210000.0,0,6,0.0,0.0,47.5093,-122.184,98056,860,3,1.0,1.0,1300,860,3/11/2015
201,297000.0,0,8,0.0,0.0,47.3777,-122.165,98042,1940,3,2.5,2.0,2030,1940,11/12/2014
202,470000.0,0,7,0.0,0.0,47.675,-122.394,98107,1010,3,1.0,1.0,1680,1010,7/16/2014
203,226500.0,0,7,0.0,0.0,47.3025,-122.37,98023,1300,3,1.5,1.0,1430,900,8/4/2014
204,274250.0,0,6,0.0,0.0,47.4787,-122.158,98059,910,3,1.0,1.0,1400,910,3/3/2015
205,840000.0,0,9,0.0,0.0,47.5378,-122.219,98040,2480,4,1.75,1.0,2770,1630,8/4/2014
206,677900.0,0,8,0.0,0.0,47.7073,-122.114,98052,2440,3,2.5,2.0,2750,2440,9/19/2014
207,425000.0,0,7,0.0,0.0,47.5733,-122.381,98116,1010,3,1.0,1.0,1290,1010,2/5/2015
208,180250.0,0,6,0.0,0.0,47.4604,-122.339,98166,900,2,0.75,1.0,1250,900,11/23/2014
209,464000.0,0,7,0.0,0.0,47.7067,-122.343,98133,2300,6,3.0,2.0,1560,1600,7/17/2014
210,320000.0,0,8,0.0,0.0,47.354,-122.047,98038,1550,4,2.25,2.0,1630,1550,4/22/2015
211,625504.0,0,8,0.0,0.0,47.6647,-122.284,98105,1270,3,2.25,2.0,1160,1060,7/17/2014
212,592500.0,0,9,0.0,0.0,47.6143,-122.017,98074,2240,4,2.5,1.0,2520,2240,5/15/2014
213,465000.0,0,9,0.0,0.0,47.3185,-122.275,98001,2714,3,2.5,2.0,2590,2714,1/14/2015
214,477000.0,0,8,0.0,0.0,47.5458,-122.268,98118,1720,4,2.75,2.0,2130,1720,5/27/2014
215,280000.0,0,6,0.0,0.0,47.4889,-122.299,98168,850,2,1.0,1.0,1100,850,1/15/2015
216,1510000.0,0,9,3.0,0.0,47.5673,-122.21,98040,3300,5,3.0,1.0,3836,1870,2/21/2015
217,445838.0,0,8,0.0,0.0,47.5133,-122.379,98146,2250,3,2.5,2.0,1320,2250,7/3/2014
218,1070000.0,0,8,3.0,0.0,47.5884,-122.291,98144,3900,2,2.25,1.0,2580,1950,8/28/2014
219,467000.0,0,8,0.0,0.0,47.7145,-122.367,98177,1320,2,1.5,1.0,2120,1320,10/23/2014
220,686000.0,0,10,0.0,0.0,47.5836,-122.026,98075,2760,4,2.5,2.0,3070,2760,8/22/2014
221,279950.0,0,7,0.0,0.0,47.398,-122.299,98198,1750,3,2.0,1.0,1900,1350,6/5/2014
222,527000.0,0,8,0.0,0.0,47.7663,-122.215,98011,2330,4,2.25,2.0,1910,2330,9/4/2014
223,325000.0,0,8,0.0,0.0,47.3758,-122.217,98030,2220,3,2.25,1.0,2080,1780,9/18/2014
224,328000.0,0,7,0.0,0.0,47.3828,-122.023,98038,2020,3,2.25,2.0,2020,2020,9/3/2014
225,390000.0,0,7,0.0,0.0,47.5123,-122.373,98146,1250,3,2.25,1.0,1280,1250,6/4/2014
226,479950.0,0,8,0.0,0.0,47.7076,-122.013,98053,1510,2,2.0,1.0,1640,1510,3/9/2015
227,264950.0,0,7,0.0,0.0,47.2922,-122.371,98023,1720,4,2.25,1.0,1510,1120,5/29/2014
228,235000.0,0,7,0.0,0.0,47.4075,-122.214,98031,1430,3,1.0,1.0,1960,980,1/15/2015
229,516500.0,0,7,0.0,0.0,47.6794,-122.034,98053,1480,3,2.5,2.0,2250,1480,3/3/2015
230,655000.0,0,7,4.0,1.0,47.4497,-122.375,98166,1450,2,1.75,2.0,2030,1230,4/13/2015
231,500000.0,0,7,0.0,0.0,47.5218,-122.164,98059,2280,4,2.75,1.0,2280,2280,6/16/2014
232,315000.0,0,8,0.0,0.0,47.3103,-122.339,98023,2940,6,2.75,1.0,2120,1780,11/21/2014
233,213000.0,0,6,0.0,0.0,47.5687,-121.899,98024,1000,2,1.0,1.0,1150,1000,11/20/2014
234,475000.0,0,7,0.0,0.0,47.5575,-122.303,98108,2480,3,1.5,1.5,2090,1620,9/2/2014
235,1030000.0,0,10,0.0,0.0,47.6489,-122.183,98033,3760,5,4.0,2.0,3430,3760,6/10/2014
236,416000.0,0,7,0.0,0.0,47.3459,-121.95,98010,2220,3,2.0,1.0,2070,1640,4/9/2015
237,410000.0,0,7,0.0,0.0,47.6136,-122.303,98122,1970,4,1.0,1.5,1510,1670,3/20/2015
238,800000.0,0,10,0.0,0.0,47.7641,-122.023,98077,3830,3,3.5,2.0,2920,3530,7/1/2014
